序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
37,002896,中大力德,SZ,65.24,10.00,5.930,65.24,62.66,4.11,1.36,808.26万,5.22亿,289.76,10.8540,128.21亿,128.21亿
38,002929,润建股份,SZ,47.97,10.00,4.360,47.97,45.01,7.29,1.29,1577.75万,7.45亿,272.53,2.1729,137.38亿,103.89亿
39,600580,卧龙电驱,SH,31.69,10.00,2.880,31.69,30.33,4.51,2.70,7023.28万,21.92亿,44.84,4.5499,495.04亿,493.61亿
40,603629,利通电子,SH,96.01,10.00,8.730,96.01,94.16,5.24,0.50,1890.57万,18.12亿,32.45,16.3904,352.10亿,346.33亿
41,603721,中广天择,SH,17.27,10.00,1.570,17.27,15.63,4.57,2.14,593.51万,1.00亿,-74.44,4.6774,22.45亿,22.45亿
42,603738,泰晶科技,SH,29.92,10.00,2.720,29.92,29.39,7.73,1.01,2981.76万,8.89亿,125.26,6.4048,115.46亿,115.46亿
43,605178,时空科技,SH,59.30,10.00,5.390,59.30,58.42,2.51,0.63,248.81万,1.47亿,-216.15,5.3224,58.75亿,58.75亿
44,000032,深桑达Ａ,SZ,13.54,9.99,1.230,13.54,12.92,5.22,1.17,6344.57万,8.46亿,-49.92,2.2367,164.54亿,164.54亿
45,000676,智度股份,SZ,7.49,9.99,0.680,7.49,6.60,11.16,0.78,1.40亿,10.20亿,51.13,2.2039,94.36亿,94.30亿
46,002015,协鑫能科,SZ,15.08,9.99,1.370,15.08,13.90,6.08,1.36,9861.91万,14.45亿,21.26,2.0520,244.80亿,244.80亿
47,002115,三维通信,SZ,11.23,9.99,1.020,11.23,10.52,15.89,1.98,1.19亿,13.03亿,104.59,4.3764,90.41亿,83.81亿
48,002432,九安医疗,SZ,68.46,9.99,6.220,68.46,65.36,10.25,1.15,4771.30万,32.17亿,27.16,1.5242,318.95亿,318.53亿
49,600602,云赛智联,SH,17.62,9.99,1.600,17.62,16.71,4.01,0.90,4312.81万,7.46亿,135.23,4.9565,240.98亿,189.29亿
50,600986,浙文互联,SH,7.82,9.99,0.710,7.82,6.98,9.89,1.81,1.47亿,11.15亿,-128.06,2.2543,116.31亿,116.31亿
51,603009,北特科技,SH,39.09,9.99,3.550,39.09,36.96,3.40,1.64,1178.44万,4.55亿,124.55,6.7439,135.40亿,135.40亿
52,603286,日盈电子,SH,37.75,9.99,3.430,37.75,35.60,2.94,1.03,343.47万,1.27亿,-199.97,5.4331,44.54亿,44.12亿
53,603598,引力传媒,SH,17.07,9.99,1.550,17.07,15.40,7.64,2.13,2057.99万,3.44亿,110.79,20.4742,46.04亿,45.99亿
54,605179,一鸣食品,SH,19.37,9.99,1.760,19.37,17.00,5.29,3.61,2122.55万,3.97亿,122.78,6.8387,77.67亿,77.67亿
55,603533,掌阅科技,SH,22.26,9.98,2.020,22.26,20.46,6.90,1.16,3030.19万,6.58亿,-72.42,4.2563,97.70亿,97.70亿
56,002354,天娱数科,SZ,6.51,9.97,0.590,6.51,6.04,10.83,1.01,1.76亿,11.33亿,89.05,7.8325,107.71亿,105.83亿
57,000595,新能股份,SZ,5.42,9.94,0.490,5.42,4.98,2.56,0.36,2917.62万,1.54亿,782.96,12.7501,61.72亿,61.72亿
58,002131,利欧股份,SZ,4.66,9.91,0.420,4.66,4.16,14.24,2.15,8.33亿,37.62亿,252.35,2.4840,315.56亿,272.83亿
59,603679,华体科技,SH,19.30,9.91,1.740,19.32,17.99,6.08,1.46,1079.87万,2.04亿,-60.76,3.8949,34.29亿,34.29亿
60,301236,软通动力,SZ,38.33,9.80,3.420,39.88,35.76,5.67,2.38,4456.40万,16.93亿,-28.35,2.9841,396.79亿,301.16亿
61,688519,南亚新材,SH,218.00,9.38,18.700,233.88,216.90,3.74,1.26,880.36万,19.75亿,85.37,18.2069,512.69亿,512.69亿
62,920493,并行科技,BJ,121.80,9.35,10.410,127.66,115.15,8.68,2.35,387.64万,4.68亿,158.94,14.5198,73.79亿,54.37亿
